#GeneID	TF_ID
ENSMUSG00000031370	ENSMUSG00000049672
ENSMUSG00000031482	ENSMUSG00000049672
ENSMUSG00000031831	ENSMUSG00000049672
ENSMUSG00000031985	ENSMUSG00000049672
ENSMUSG00000032030	ENSMUSG00000049672
ENSMUSG00000032112	ENSMUSG00000049672
ENSMUSG00000032126	ENSMUSG00000049672
ENSMUSG00000032440	ENSMUSG00000049672
ENSMUSG00000032479	ENSMUSG00000049672
ENSMUSG00000032534	ENSMUSG00000049672
ENSMUSG00000032763	ENSMUSG00000049672
ENSMUSG00000032840	ENSMUSG00000049672
ENSMUSG00000032855	ENSMUSG00000049672
ENSMUSG00000033014	ENSMUSG00000049672
ENSMUSG00000033429	ENSMUSG00000049672
ENSMUSG00000033545	ENSMUSG00000049672
ENSMUSG00000033849	ENSMUSG00000049672
ENSMUSG00000033970	ENSMUSG00000049672
ENSMUSG00000034024	ENSMUSG00000049672
ENSMUSG00000034189	ENSMUSG00000049672
ENSMUSG00000034432	ENSMUSG00000049672
ENSMUSG00000034560	ENSMUSG00000049672
ENSMUSG00000034601	ENSMUSG00000049672
ENSMUSG00000034647	ENSMUSG00000049672
ENSMUSG00000034789	ENSMUSG00000049672
ENSMUSG00000035109	ENSMUSG00000049672
ENSMUSG00000035198	ENSMUSG00000049672
ENSMUSG00000035364	ENSMUSG00000049672
ENSMUSG00000035828	ENSMUSG00000049672
ENSMUSG00000036073	ENSMUSG00000049672
ENSMUSG00000036432	ENSMUSG00000049672
ENSMUSG00000036473	ENSMUSG00000049672
ENSMUSG00000036819	ENSMUSG00000049672
ENSMUSG00000036934	ENSMUSG00000049672
ENSMUSG00000037353	ENSMUSG00000049672
ENSMUSG00000037526	ENSMUSG00000049672
ENSMUSG00000038057	ENSMUSG00000049672
ENSMUSG00000038150	ENSMUSG00000049672
ENSMUSG00000038506	ENSMUSG00000049672
ENSMUSG00000038736	ENSMUSG00000049672
ENSMUSG00000039016	ENSMUSG00000049672
ENSMUSG00000039623	ENSMUSG00000049672
ENSMUSG00000039887	ENSMUSG00000049672
ENSMUSG00000040236	ENSMUSG00000049672
ENSMUSG00000040822	ENSMUSG00000049672
ENSMUSG00000040952	ENSMUSG00000049672
ENSMUSG00000041438	ENSMUSG00000049672
ENSMUSG00000041560	ENSMUSG00000049672
ENSMUSG00000041685	ENSMUSG00000049672
ENSMUSG00000042350	ENSMUSG00000049672
ENSMUSG00000042650	ENSMUSG00000049672
ENSMUSG00000042757	ENSMUSG00000049672
ENSMUSG00000042797	ENSMUSG00000049672
ENSMUSG00000044820	ENSMUSG00000049672
ENSMUSG00000044997	ENSMUSG00000049672
ENSMUSG00000045107	ENSMUSG00000049672
ENSMUSG00000045538	ENSMUSG00000049672
ENSMUSG00000045665	ENSMUSG00000049672
ENSMUSG00000045929	ENSMUSG00000049672
ENSMUSG00000046229	ENSMUSG00000049672
ENSMUSG00000046388	ENSMUSG00000049672
ENSMUSG00000046994	ENSMUSG00000049672
ENSMUSG00000047921	ENSMUSG00000049672
ENSMUSG00000048668	ENSMUSG00000049672
ENSMUSG00000048731	ENSMUSG00000049672
ENSMUSG00000049488	ENSMUSG00000049672
ENSMUSG00000049680	ENSMUSG00000049672
ENSMUSG00000050471	ENSMUSG00000049672
ENSMUSG00000051285	ENSMUSG00000049672
ENSMUSG00000051518	ENSMUSG00000049672
ENSMUSG00000052144	ENSMUSG00000049672
ENSMUSG00000052673	ENSMUSG00000049672
ENSMUSG00000052934	ENSMUSG00000049672
ENSMUSG00000053081	ENSMUSG00000049672
ENSMUSG00000053838	ENSMUSG00000049672
ENSMUSG00000054517	ENSMUSG00000049672
ENSMUSG00000056411	ENSMUSG00000049672
ENSMUSG00000056515	ENSMUSG00000049672
ENSMUSG00000058355	ENSMUSG00000049672
