# Gene name	miRNA ID
ENSMUSG00000000409	mmu-miR-542-3p
ENSMUSG00000000409	mmu-miR-542-5p
ENSMUSG00000000420	mmu-miR-188-3p
ENSMUSG00000000420	mmu-miR-450b-5p
ENSMUSG00000000420	mmu-miR-532-3p
ENSMUSG00000000439	mmu-miR-32-3p
ENSMUSG00000000439	mmu-miR-362-3p
ENSMUSG00000000439	mmu-miR-450b-5p
ENSMUSG00000000439	mmu-miR-542-3p
ENSMUSG00000000531	mmu-miR-1187
ENSMUSG00000000531	mmu-miR-188-3p
ENSMUSG00000000531	mmu-miR-450b-5p
ENSMUSG00000000531	mmu-miR-466d-5p
ENSMUSG00000000531	mmu-miR-466k
ENSMUSG00000000531	mmu-miR-532-3p
ENSMUSG00000000532	mmu-miR-188-3p
ENSMUSG00000000532	mmu-miR-188-5p
ENSMUSG00000000532	mmu-miR-342-3p
ENSMUSG00000000532	mmu-miR-362-3p
ENSMUSG00000000532	mmu-miR-450b-5p
ENSMUSG00000000532	mmu-miR-532-3p
ENSMUSG00000000532	mmu-miR-542-3p
ENSMUSG00000000532	mmu-miR-669f-3p
ENSMUSG00000000538	mmu-miR-1187
ENSMUSG00000000538	mmu-miR-151-3p
ENSMUSG00000000538	mmu-miR-188-3p
ENSMUSG00000000538	mmu-miR-3074-1-3p
ENSMUSG00000000538	mmu-miR-342-3p
ENSMUSG00000000538	mmu-miR-34b-5p
ENSMUSG00000000538	mmu-miR-450b-5p
ENSMUSG00000000538	mmu-miR-501-5p
ENSMUSG00000000538	mmu-miR-532-3p
ENSMUSG00000000538	mmu-miR-532-5p
ENSMUSG00000000538	mmu-miR-542-3p
ENSMUSG00000000538	mmu-miR-542-5p
ENSMUSG00000000555	mmu-miR-151-3p
ENSMUSG00000000555	mmu-miR-34b-5p
ENSMUSG00000000555	mmu-miR-450b-5p
ENSMUSG00000000561	mmu-miR-1198-5p
ENSMUSG00000000561	mmu-miR-188-3p
ENSMUSG00000000561	mmu-miR-188-5p
ENSMUSG00000000561	mmu-miR-3074-1-3p
ENSMUSG00000000561	mmu-miR-339-3p
ENSMUSG00000000561	mmu-miR-342-3p
ENSMUSG00000000561	mmu-miR-363-5p
ENSMUSG00000000561	mmu-miR-409-3p
ENSMUSG00000000561	mmu-miR-450b-5p
ENSMUSG00000000561	mmu-miR-466n-3p
ENSMUSG00000000561	mmu-miR-532-5p
ENSMUSG00000000561	mmu-miR-542-3p
ENSMUSG00000000561	mmu-miR-669f-3p
ENSMUSG00000000562	mmu-miR-188-3p
ENSMUSG00000000562	mmu-miR-342-3p
ENSMUSG00000000562	mmu-miR-363-5p
ENSMUSG00000000562	mmu-miR-501-3p
ENSMUSG00000000562	mmu-miR-501-5p
ENSMUSG00000000568	mmu-miR-1198-5p
ENSMUSG00000000568	mmu-miR-151-3p
ENSMUSG00000000568	mmu-miR-188-3p
ENSMUSG00000000568	mmu-miR-200b-3p
ENSMUSG00000000568	mmu-miR-221-3p
ENSMUSG00000000568	mmu-miR-27a-5p
ENSMUSG00000000568	mmu-miR-342-3p
ENSMUSG00000000568	mmu-miR-34b-3p
ENSMUSG00000000568	mmu-miR-34b-5p
ENSMUSG00000000568	mmu-miR-362-3p
ENSMUSG00000000568	mmu-miR-381-3p
ENSMUSG00000000568	mmu-miR-409-3p
ENSMUSG00000000568	mmu-miR-429-3p
ENSMUSG00000000568	mmu-miR-450b-5p
ENSMUSG00000000568	mmu-miR-466d-5p
ENSMUSG00000000568	mmu-miR-501-5p
ENSMUSG00000000568	mmu-miR-532-3p
ENSMUSG00000000568	mmu-miR-532-5p
ENSMUSG00000000568	mmu-miR-669f-3p
ENSMUSG00000000581	mmu-miR-151-3p
ENSMUSG00000000581	mmu-miR-188-3p
ENSMUSG00000000581	mmu-miR-3074-1-3p
ENSMUSG00000000581	mmu-miR-3091-3p
ENSMUSG00000000581	mmu-miR-342-3p
ENSMUSG00000000581	mmu-miR-362-5p
ENSMUSG00000000581	mmu-miR-409-3p
ENSMUSG00000000581	mmu-miR-450b-5p
ENSMUSG00000000581	mmu-miR-466n-3p
ENSMUSG00000000581	mmu-miR-501-5p
ENSMUSG00000000581	mmu-miR-532-5p
ENSMUSG00000000581	mmu-miR-542-3p
ENSMUSG00000000594	mmu-miR-3091-3p
ENSMUSG00000000594	mmu-miR-342-3p
ENSMUSG00000000594	mmu-miR-362-3p
ENSMUSG00000000594	mmu-miR-363-5p
ENSMUSG00000000594	mmu-miR-409-3p
ENSMUSG00000000594	mmu-miR-450b-5p
ENSMUSG00000000594	mmu-miR-669f-3p
ENSMUSG00000000600	mmu-miR-1198-5p
ENSMUSG00000000600	mmu-miR-151-3p
ENSMUSG00000000600	mmu-miR-3074-1-3p
ENSMUSG00000000600	mmu-miR-3091-3p
ENSMUSG00000000600	mmu-miR-362-3p
ENSMUSG00000000600	mmu-miR-362-5p
ENSMUSG00000000600	mmu-miR-409-3p
ENSMUSG00000000600	mmu-miR-466d-5p
ENSMUSG00000000600	mmu-miR-466n-3p
ENSMUSG00000000600	mmu-miR-501-5p
ENSMUSG00000000600	mmu-miR-669f-3p
ENSMUSG00000000605	mmu-miR-1198-5p
ENSMUSG00000000605	mmu-miR-188-3p
ENSMUSG00000000605	mmu-miR-188-5p
ENSMUSG00000000605	mmu-miR-3091-3p
ENSMUSG00000000605	mmu-miR-34b-3p
ENSMUSG00000000605	mmu-miR-34b-5p
ENSMUSG00000000605	mmu-miR-532-3p
ENSMUSG00000000605	mmu-miR-532-5p
ENSMUSG00000000605	mmu-miR-542-3p
ENSMUSG00000000605	mmu-miR-669f-3p
ENSMUSG00000000628	mmu-miR-151-3p
ENSMUSG00000000628	mmu-miR-34b-5p
ENSMUSG00000000628	mmu-miR-362-3p
ENSMUSG00000000628	mmu-miR-363-5p
ENSMUSG00000000628	mmu-miR-501-5p
ENSMUSG00000000628	mmu-miR-542-3p
ENSMUSG00000000628	mmu-miR-669f-3p
ENSMUSG00000000673	mmu-miR-3091-3p
ENSMUSG00000000673	mmu-miR-34b-5p
ENSMUSG00000000673	mmu-miR-532-5p
ENSMUSG00000000673	mmu-miR-542-3p
ENSMUSG00000000673	mmu-miR-542-5p
ENSMUSG00000000686	mmu-miR-1187
ENSMUSG00000000686	mmu-miR-151-3p
ENSMUSG00000000686	mmu-miR-188-3p
ENSMUSG00000000686	mmu-miR-3091-3p
