Protein	Ratio_0	Ratio_2	Ratio_6	Ratio_12	Ratio_18	Ratio_24
Fkbp5	-1.651508	0.472756	0.781011	-2.411620	0.296658	-1.942599
Fkbp8	-0.530968	-1.144675	0.872105	-1.288611	-1.632586	0.401631
Flii	-0.755577	1.653047	-0.161970	3.870124	2.088060	-1.032805
Flna	-0.568066	1.311675	-0.400062	-0.715747	-0.647448	-0.395865
Fmnl1	0.984932	-0.350366	-1.689098	-3.621201	0.064510	1.241509
Fmr1	-0.038768	1.336718	-1.134905	-3.192442	0.393528	-0.710043
Fnbp1	3.369484	1.221580	1.113210	0.672080	0.677304	-1.147971
Fnta	0.984932	1.221580	-2.133837	0.672080	0.064510	-1.636575
Foxp1	-0.217771	0.441551	-0.082987	-1.167749	-1.128129	-0.232550
Frg1	-1.098548	0.406094	-0.948571	-0.402616	-0.064026	2.122973
Fsip2	-1.656465	1.221580	1.221491	-6.268009	0.576390	-1.147971
Fth1	-1.260401	2.527775	-2.085016	1.915096	-3.419763	1.357342
Ftl1	0.327619	2.702093	-1.753244	6.131566	0.193281	-0.172337
Fto	3.728872	0.903155	-1.045674	-3.616732	-0.694010	0.990260
Ftsj3	-2.070709	1.331398	-0.516652	0.128682	0.064510	-1.159770
Fubp1	-0.696615	0.724037	-0.137791	-0.252888	-1.250304	-1.012364
Fus	-1.429357	1.810042	-0.137130	0.622054	-2.604451	-0.566835
Fv4	0.006234	1.307637	-0.251444	8.595121	-5.390494	-0.721138
Fxr1	0.078487	-0.181824	-0.702238	0.784377	-2.291214	-1.102682
Fxr2	-2.937575	1.221580	1.113210	-2.645316	-2.824087	-1.147971
G3bp1	-0.248309	2.757741	-0.451720	0.596596	-0.200148	-1.737807
G3bp2	-1.183286	0.072596	1.265410	-6.855767	-0.498690	1.865177
G6pdx	0.882041	0.319245	-1.058239	-1.576562	1.396726	0.104764
Gak	0.984932	-0.653135	-0.769883	0.672080	0.064510	-1.169999
Galk1	-0.002586	1.559320	-0.653577	-0.335749	-1.117361	-0.791174
Ganab	-0.691365	1.958525	-0.834610	2.254951	0.030957	-0.057783
Gapdh	0.330265	1.323375	-0.429043	1.405941	0.011201	-0.718691
Gar1	-0.911617	-0.022846	-0.095121	-2.624449	0.507785	-0.650461
Gars	-0.777517	0.967756	-0.862409	0.025722	-1.219493	-1.178899
Gart	-0.993861	1.180349	-0.527093	0.507121	-2.668114	-1.328815
Gatad2a	0.066702	1.221580	-2.416393	1.994536	-1.120542	-0.518829
Gatad2b	-0.430590	1.387972	0.292273	-1.199095	1.470016	3.019281
Gcc2	0.984932	-0.603145	1.886078	-0.697514	0.064510	-1.672295
Gcsh	-0.718140	-0.021087	1.113210	0.672080	0.064510	-1.147971
Gdi2	-0.454591	1.313239	-0.615558	1.409774	-2.732692	-1.617823
Gemin5	1.444702	2.053030	-0.242138	1.414450	-0.353375	-0.008884
Get4	-0.715067	0.213878	1.693811	0.672080	2.532433	-1.147971
Gfm1	-0.946692	0.786746	1.113210	2.740153	-2.698320	-1.147971
Gfra2	-0.058137	0.993381	-1.332306	-1.372401	-4.351627	-2.067687
Ghitm	-0.612274	0.484487	1.837792	-4.446389	-0.199242	-0.558572
Gigyf2	-0.443859	3.530327	-1.928464	2.918494	-4.296148	-3.437155
Gins1	0.984932	1.221580	10.163209	9.364836	-2.041561	-1.147971
Glcci1	0.984932	1.221580	1.113210	-2.146719	0.064510	-1.147971
Gle1	0.984932	-0.366312	-1.976853	0.672080	0.064510	-0.911540
Glg1	-1.252880	1.438785	-1.084325	-5.959132	0.874680	2.469938
Glipr2	0.984932	-0.057232	-0.304888	-2.358935	-3.259084	-0.391784
Glod4	0.773405	2.895399	-1.793484	-2.497912	0.865853	-1.272647
Glrx	0.416045	0.711648	-1.216468	-2.220179	-0.296768	1.328919
Glrx3	-0.534035	3.054588	-0.073374	-0.547154	-0.566772	-1.614816
Glrx5	-0.943034	2.490776	-1.263731	3.564954	2.897136	0.438714
Gls	0.167798	0.855662	0.236546	-1.266638	0.771027	-0.923987
Gltp	0.984932	2.421378	-1.372561	2.914634	0.064510	0.507201
Glud1	-0.728376	1.853113	-0.503061	-0.310837	-0.413449	-0.473777
Glul	0.256570	0.686786	1.113210	-3.496946	2.456262	-1.147971
Glyr1	-0.987691	0.355286	-0.956436	1.700220	0.609090	-3.668990
Gmds	-0.143973	0.357481	0.087104	4.118822	-1.548704	-3.865841
Gmfb	0.984932	-1.804146	-1.938693	0.672080	0.064510	-1.147971
Gmfg	-0.965775	1.218638	-1.147800	-0.602368	-1.651374	-0.490133
Gmip	0.278058	1.221580	10.050813	10.055585	-1.296147	-1.147971
Gmppa	1.392171	1.221580	1.113210	-3.575448	-0.438157	-1.147971
Gmps	-1.368212	1.134526	-0.768031	-0.741684	-1.362148	-1.432031
Gna13	0.984932	1.319565	-1.325810	3.300800	0.064510	-1.953691
Gnai2	-0.211476	1.314213	-0.550011	1.635962	-0.770456	0.086960
Gnai3	-0.737830	0.380145	0.962410	-0.845809	-1.964441	-0.181309
Gnas	-1.052277	0.589194	1.240622	-1.604482	1.177868	1.185870
Gnb1	-1.976512	0.445945	-0.308741	-1.215677	-0.938522	-2.537894
Gnb2	-0.978967	0.742832	-0.269316	-1.120930	-1.439574	-0.352798
Gnb2l1	-0.546002	1.110052	-0.028368	1.129842	-1.031359	-0.981194
Gnb4	-1.592687	3.550158	1.113210	-5.981796	-0.039469	0.169390
Gng12	-0.759089	2.489086	-1.952859	-2.784307	0.702188	-0.981061
Gng5	0.489356	2.488737	-0.995449	-3.736775	1.492182	-0.891577
Gnl2	-0.332639	1.221580	10.804478	10.042496	-2.000519	-1.147971
Gnl3	-1.005456	0.264300	-0.391750	-1.517260	-1.377886	-1.512799
Golga5	7.478401	-1.570944	-0.697148	-2.467432	4.170322	-0.873604
Golim4	2.230039	1.221580	1.113210	0.672080	-2.525264	-3.303658
Gorasp2	0.688856	4.320045	0.223279	-1.361825	1.487565	-3.939769
Got1	0.366803	2.782963	-1.139189	-1.745218	-3.321175	0.956640
Got2	-0.074986	0.830778	-0.153074	1.049074	-0.913047	-0.895574
Gpatch4	-0.732779	1.221580	1.113210	-3.167259	0.636563	-1.147971
Gpatch8	-1.828072	1.221580	1.113210	-8.884573	1.809620	-1.147971
Gpd1l	-0.423263	4.311151	1.014164	-3.124180	-4.104349	-1.581577
Gpd2	-0.112194	1.240708	-0.814221	1.050259	-1.015426	-0.397446
Gphn	3.448706	3.700761	-0.530767	-1.760869	2.411989	0.511170
Gpi	-0.142462	1.168846	-0.979779	-0.095470	-1.054342	-2.142640
Gpr56	-1.023913	3.032683	0.173749	-1.657300	-1.777312	-5.068696
Gps1	2.506047	2.156965	-2.154451	-2.156773	-0.811655	-1.716722
Gpx4	0.625989	1.221580	1.113210	0.672080	-1.957254	-1.147971
Grb2	0.577556	0.497411	-1.346499	0.070081	-3.626630	-0.016937
Grcc10	3.261524	1.506293	-1.529797	3.258864	1.267584	-0.469823
Greb1l	0.984932	1.920213	-1.392842	3.661883	0.064510	-0.127081
Grhpr	-0.014154	3.693779	-0.244997	0.672080	-0.688900	-1.147971
Grid2	1.459328	1.221580	1.113210	0.672080	2.933555	-1.147971
Grk6	0.984932	-1.618725	10.468298	9.398798	-0.501660	-1.147971
Grpel1	-2.126460	0.899772	0.736356	-1.043695	0.524868	-1.761742
Grwd1	0.984932	-0.627157	-1.822581	2.470130	0.064510	-0.807645
Gsn	1.334966	3.394011	-1.471845	-1.356571	0.604524	1.841652
Gspt1	-0.252941	2.173750	-0.993638	-0.797037	0.080636	-0.790209
Gsr	-0.411461	5.885843	0.993649	-0.359948	-2.234875	-0.062016
Gstm1	-1.474943	0.268909	-1.469124	-0.199040	-1.271464	0.184850
Gstm3	-1.379028	1.221580	1.113210	0.672080	0.064510	-1.147971
Gsto1	0.073963	-1.333621	0.545524	-3.562086	-0.241834	0.449706
Gstp1	1.360673	0.707067	0.209184	2.012763	1.689815	-1.561023
Gtf2b	0.984932	-0.852961	-0.354544	3.413502	0.064510	2.026031
Gtf2e1	0.984932	0.119282	-2.127911	-4.376460	0.064510	0.326329
Gtf2e2	-0.816326	1.221580	-1.803439	2.854079	0.064510	-3.313714
Gtf2f1	-0.633944	1.548125	-4.046203	-2.672527	-1.171353	-0.703354
Gtf2i	-1.291483	5.053464	-1.299600	-0.713675	-0.418654	0.199436
Gtf3c1	0.984932	0.216245	-1.136970	-9.049669	2.760313	-0.987163
Gtf3c5	-1.306046	5.064365	-0.162506	3.716215	2.798097	-0.205994
Gtpbp1	0.984932	1.423972	-0.118064	3.876499	0.064510	-1.904600
Gtpbp4	-2.106095	0.738304	-0.644072	-0.065377	-0.752373	-0.602999
Gtpbp8	0.984932	1.221580	0.268409	0.672080	0.064510	-1.621769
Gtse1	2.071909	1.491387	1.113210	1.010597	0.064510	-1.147971
Gucy1a3	-2.186363	1.649841	1.113210	0.672080	0.064510	-1.147971
Gyg1	11.052995	11.962788	1.113210	2.787417	0.064510	-1.147971
H2-D1	-0.326606	0.994009	-0.294660	2.405882	1.068704	-0.875835
H2-K1	-2.646409	-0.200317	0.239764	4.705030	2.756763	-1.084510
H2-L	0.984932	1.448858	-1.425691	4.449104	0.064510	2.857683
H2afv	0.579686	0.023080	0.167843	0.840376	0.020724	-0.436021
H2afy	-0.379847	1.184783	-0.045806	0.418304	-0.122927	-0.482597
H3f3a	11.202362	11.505950	1.113210	6.243312	0.064510	-1.147971
Hadh	-0.216303	0.313583	-0.389880	-1.138612	-0.753168	-1.571341
Hadha	-0.870172	1.078275	-0.448360	0.288530	-0.952852	-0.408666
Hadhb	-1.025615	2.762930	-0.396329	-0.090431	-3.269583	-0.542787
Hars	-0.843557	1.412628	-1.646109	-2.021944	-1.800921	-0.801497
Has1	-1.883526	6.579214	0.289505	5.087867	0.064510	-2.417128
Hat1	-0.168894	1.106750	-0.080546	-0.582519	-2.103181	-1.275733
Haus4	0.984932	0.759679	0.623675	0.672080	0.064510	-0.038230
Hba	-5.626597	10.328653	10.990863	-5.280304	1.134149	0.394112
Hccs	-1.231500	-2.119164	-0.033756	-1.530817	-2.338430	-0.019350
Hcfc1	-2.075191	0.788037	-0.402189	0.275691	-0.848618	-1.590044
Hck	3.987286	1.710677	1.113210	-3.473748	1.245140	-1.147971
Hcls1	-0.939189	4.984763	-0.596012	-2.791111	-1.248586	-3.017361
Hdac1	-0.443564	1.037464	-0.304331	2.198919	-1.944986	-0.626344
Hdac2	3.265226	0.667888	3.583463	0.672080	-1.297458	-1.147971
Hdac7	0.984932	1.221580	0.834185	-2.559245	0.064510	-1.147971
Hdgf	-1.722210	2.738353	-1.984636	-3.531775	-1.837602	-0.692674
Hdgfrp2	-1.607019	-3.487161	0.870349	-2.655537	2.146774	1.337184
Hdlbp	-1.488320	2.971591	-0.297900	-1.544505	-0.500222	-0.134707
Hells	-1.452011	1.395732	-1.846329	-2.831986	-1.151729	-0.925926
Hexim1	0.984932	0.940508	1.113210	-3.314146	0.064510	-1.147971
Hibadh	-0.531374	0.853629	-0.312220	-0.793060	0.144658	0.239450
Hic2	-0.131738	0.051402	6.767721	0.672080	0.064510	-1.268879
Higd1a	2.303555	-0.974634	1.113210	-2.214766	-0.480858	-1.147971
Hint1	0.212056	1.186586	-1.247087	0.096930	0.280812	1.114628
Hirip3	2.448041	5.245233	-0.580295	-3.435258	0.014070	-1.438516
Hist1h1a	-0.080536	-0.052791	-0.519529	0.466848	-0.027880	-0.373583
Hist1h1b	0.378044	-0.081479	-0.350938	-0.592183	0.553063	-0.144736
Hist1h1c	0.281226	-0.230586	-0.034125	-0.268301	0.460935	-0.234947
Hist1h1d	0.148539	1.168170	-0.310066	-0.916394	0.732076	-0.770531
Hist1h1e	0.387630	0.071362	-0.270960	-0.215791	1.101867	-0.169137
Hist1h1t	-0.372441	1.221580	1.113210	0.672080	1.449661	-1.147971
Hist1h2af	0.587756	-0.169997	0.511907	1.239128	-0.383087	-0.860957
Hist1h2ah	2.386138	1.221580	1.113210	-4.029798	9.327579	-1.147971
Hist1h2bb	3.307143	-0.300104	-2.538603	-4.815940	0.064510	2.541160
Hist1h2bc	-0.156065	-0.218911	0.051116	0.095260	-1.053005	-0.413970
Hist1h2bk	0.984932	7.882318	-8.194191	0.672080	0.064510	-1.147971
Hist1h2bm	0.984932	1.439040	-5.514188	0.672080	0.064510	-2.817835
Hist1h2bp	0.984932	5.530285	-2.077499	0.672080	0.064510	-1.147971
Hist1h3a	0.074635	1.221580	1.113210	3.782777	0.064510	-1.147971
Hist1h3b	-0.286819	-0.763988	0.033511	-0.636676	-0.683862	-0.351942
Hist1h4a	0.430797	0.180383	0.495956	-0.028104	-0.320850	-0.587098
Hist2h2aa1	3.143625	-0.637066	0.150381	4.679770	5.691742	-0.457025
Hist2h2ab	0.984932	-0.680439	1.228661	2.691989	-0.322417	-1.773484
Hist2h2bb	0.984932	8.841170	-5.575129	0.672080	0.064510	-0.867925
Hk1	-0.030729	0.593017	1.452916	-4.267960	4.509150	-0.817705
Hk2	-0.430017	0.178199	-0.252282	-2.321351	1.118440	-0.849319
Hm13	-1.136020	1.953420	0.489348	-2.297845	-0.727693	-0.263949
Hmbs	0.984932	-1.419213	-0.934833	0.672080	0.064510	-1.720693
Hmga1	-0.727450	-0.065719	-0.156582	-1.524511	0.370581	0.354692
Hmgb1	-0.314363	1.116522	-0.240890	1.346520	-0.274873	-0.061052
Hmgb2	-1.406515	1.458874	0.185554	1.633754	-0.566757	0.069779
Hmgb3	-0.757332	1.747394	0.581592	-5.780894	0.731935	0.372247
Hmgcl	0.984932	0.401513	-1.161023	0.672080	0.064510	-0.868266
Hmgcs1	-0.602446	1.148005	-4.081614	-1.915205	-0.361345	-4.335968
Hmgn1	2.387822	0.549588	-0.237887	0.495339	1.542601	-1.185128
Hmgn2	0.984932	-0.629347	-0.871290	6.376950	-1.562060	-1.413671
Hmgn3	0.984932	2.882120	-0.242510	0.672080	0.064510	-0.756066
Hmgn5	-1.989095	1.876645	0.102442	-0.384601	-2.678254	-1.884074
Hmha1	0.875761	0.247822	-1.117035	-3.137001	0.011583	-0.385930
Hmmr	0.394420	1.221580	-3.657255	4.988848	-2.335517	-1.147971
Hmox2	0.295794	-0.087601	-1.201862	2.423309	-0.738115	-0.892306
Hn1	-1.910619	1.221580	3.966129	0.672080	0.064510	-1.147971
Hn1l	0.498507	1.221580	1.113210	0.672080	-4.099749	-1.147971
Hnrnpa0	0.265481	0.409146	-0.464103	1.534947	2.442843	-0.923675
Hnrnpa1	-0.915109	0.733866	-0.275311	-0.816506	0.835149	-0.386705
Hnrnpa2b1	-0.504421	0.262916	-0.355286	-0.445131	-0.407630	-0.748909
Hnrnpa3	-0.773538	0.556793	0.119673	0.065127	-0.265878	-0.806214
Hnrnpab	0.553094	1.118581	0.256573	0.011251	0.129208	-0.686910
Hnrnpc	-0.617872	0.421074	-0.552988	0.901724	-0.995606	-0.849890
Hnrnpd	0.521274	0.623592	0.503988	0.477508	0.042110	-0.832308
Hnrnpf	-0.459732	1.105761	0.045134	0.558881	-1.254917	-0.835365
Hnrnph1	-0.366642	1.221569	0.067133	0.800717	-1.319403	-0.397555
Hnrnph2	-1.424001	0.821836	-0.006477	-1.714683	-1.906986	0.126303
Hnrnpk	0.030734	0.754486	-0.374497	-0.095341	-0.690640	-0.908633
Hnrnpl	-0.472238	0.808532	0.083970	-0.561378	0.735628	-0.685797
Hnrnpm	-0.462603	0.609789	-0.483304	0.022855	-0.287712	-0.522761
Hnrnpu	-0.311345	1.134955	-0.409782	0.647139	-1.187933	-0.619591
Hnrnpul1	-0.543458	-0.529143	0.358533	-3.113571	-1.016139	-0.020745
Hnrnpul2	-1.469804	1.810363	-0.872342	-1.871155	-0.241868	1.859628
Hnrpdl	0.389118	0.276579	-1.208987	2.127098	-1.256620	0.282557
Hormad1	0.984932	1.221580	1.113210	-2.893510	0.064510	-1.147971
Hp1bp3	-0.973089	0.608766	-0.862601	-0.610871	-0.967789	-0.221309
Hprt1	0.698677	1.732449	-0.678665	-0.628132	1.104341	-1.430967
Hsd17b10	-1.104141	0.583551	-0.188169	-0.476137	-0.807611	-2.300696
Hsd17b11	0.435484	0.000261	0.420529	4.315088	0.064510	-0.973667
Hsd17b12	-0.184125	0.833615	-0.348859	-0.458748	0.063841	-0.899699
Hsd17b4	-1.212498	1.366030	-0.707289	-0.877826	-0.627596	-0.761728
Hsdl1	0.984932	0.853885	0.430176	0.672080	0.064510	0.518334
Hsp90aa1	0.051209	0.907390	-0.254018	-0.424067	-0.574196	-1.232341
Hsp90ab1	0.275395	1.036185	-0.253328	-0.255606	-0.563543	-1.128053
Hsp90b1	-0.134724	0.595194	-0.342796	0.110651	-1.531099	-0.960476
Hspa14	0.624772	0.488852	-0.841947	-0.087566	-0.992258	-1.213011
Hspa4	0.514589	2.255041	-0.358299	0.816482	-1.570924	-1.020083
Hspa5	0.147994	1.192564	-0.392531	0.294344	-0.485439	-1.170706
Hspa8	0.509765	1.076748	-0.248261	-0.106484	-1.027902	-1.251776
Hspa9	0.012761	1.199957	-0.431461	0.618165	-0.804289	-1.001355
Hspbp1	4.235861	1.221580	3.343176	-2.580645	-0.308644	-1.147971
Hspd1	-0.110587	0.924559	-0.424853	-0.174142	0.115861	-1.404433
Hspe1	0.276826	0.545277	-0.073143	-0.678535	-0.019536	-1.278901
Hsph1	-0.395529	2.390287	-0.474363	0.533781	-1.242068	-1.022597
Htra2	-0.578302	2.135494	0.288612	4.022717	-0.197235	-0.098643
Huwe1	2.239025	0.723642	0.341618	1.740980	1.328999	-1.514936
Hyou1	-1.551439	0.879917	-0.046080	-0.048632	-0.419200	-1.647329
Iap	-1.317035	1.065923	0.065921	-2.330987	2.016506	1.305414
Iars	-0.854873	2.900036	-0.381307	2.075431	-0.125706	-1.466388
Iars2	10.832551	9.888602	3.571260	1.310112	0.064510	-1.147971
Ide	-0.951791	2.660715	-0.251315	2.958089	-4.317311	-0.802876
Idh1	-2.220862	-1.615303	1.113210	-3.721217	2.928347	-1.147971
Idh2	-0.749462	0.854765	-0.304346	-0.341008	-1.321086	-0.264849
Idh3a	0.179953	1.057908	-0.553124	0.449498	0.326771	-0.939071
Idh3g	-3.919217	-1.659514	0.208234	5.372860	-2.300189	-0.556534
Idi1	-0.445273	2.960219	-0.990132	0.042419	-0.700766	-1.227108
Ier3ip1	0.984932	4.340995	4.695809	3.929617	0.064510	0.069214
Ifitm2	0.189039	2.781956	-0.391706	-0.618449	-1.753224	-2.362803
Igbp1	0.984932	1.455061	1.912212	-1.377733	-0.720706	-1.147971
Igf2bp3	0.320812	1.485454	-0.805380	-0.225704	1.165976	-0.184960
Igh-6	-0.183970	1.054791	-0.281377	0.494049	0.072033	-1.056097
Igll1	-0.761781	0.144132	0.087896	-0.631665	-1.574706	-3.598320
Ik	-1.888480	3.160656	-2.651487	-3.276107	2.480721	-1.147971
Ikbkap	0.668761	1.827812	-0.520443	-0.099849	-0.110297	2.215315
Ikzf1	2.894378	4.698274	-0.251493	-0.238113	4.748492	4.826906
Ilf2	-0.576554	2.157292	-0.134608	2.926311	-3.251952	-0.835669
Ilf3	-2.096621	1.149334	-0.161504	-0.123338	-3.293201	-1.066872
Ilk	0.780821	2.094310	-0.231860	2.781440	-2.447223	1.121643
Ilvbl	0.984932	1.465650	1.976215	2.041523	0.064510	1.213807
Immt	-0.144822	0.979784	-0.777899	-0.716465	-0.244511	-0.130325
Imp3	-0.300282	3.883919	-0.937509	4.693857	0.064510	1.062071
Imp4	-1.546165	1.221580	3.466690	0.672080	-3.651370	-1.147971
Impa1	-1.690939	0.164551	-1.254046	-2.592970	-1.000814	-2.014067
Impa2	-0.900676	4.629535	0.580270	-8.653307	-3.120025	-0.204065
Impdh1	-0.993708	2.471408	-0.288296	5.856917	0.710886	-0.830963
Impdh2	-0.169430	1.082215	-0.284467	0.115131	-0.726205	-1.208677
Incenp	-0.495708	0.461703	-0.939768	-2.109015	-0.443485	-1.663046
Inpp5d	-0.355000	0.672049	-0.145772	-1.152317	-1.004773	-1.321961
Ints12	0.984932	0.460127	-0.272016	0.329369	0.064510	-1.603694
Ints4	0.984932	1.221580	1.113210	-0.043898	-2.199567	-1.147971
Ipo11	-1.135045	2.773759	-0.101217	-4.681238	-0.405312	-1.607779
Ipo4	0.405388	2.454785	3.120075	-2.503260	-1.536446	-1.147971
Ipo5	-0.643309	1.145171	-0.460999	0.525114	-2.737084	-1.771920
Ipo7	-0.504860	2.505928	-0.708196	0.723258	-1.682604	-1.665902
Ipo9	1.256964	0.920300	-0.504550	4.695850	-0.814359	-1.147335
Iqgap1	-1.545050	1.408523	-0.304185	1.197490	-1.455983	-0.804003
Iqgap2	0.984932	1.221580	-3.258271	-0.962376	0.064510	-1.147971
Irf2bp1	-0.503349	2.100240	1.113210	-2.905485	2.294432	-1.147971
Irf2bp2	4.141761	-0.742913	1.113210	0.672080	-3.272847	-1.147971
Isg20l2	-0.804054	-1.025704	0.371526	-5.349169	1.831735	-0.962900
Isoc1	0.984932	0.915617	0.019205	1.858456	-4.309036	-0.074252
Ist1	-0.736442	5.565204	0.001234	-3.819811	-0.926980	-1.147971
Isy1	0.984932	2.582779	-1.627059	1.038483	0.064510	1.014528
Isyna1	-3.314111	3.978593	-0.901012	2.457298	2.023551	0.061603
Itgb1	-0.593841	1.478017	-0.816610	0.013336	-0.043004	-1.420357
Itpa	0.097260	-0.266867	4.766448	3.127237	0.032043	-3.590809
Itpr1	-0.400522	0.971202	-0.753344	-2.741400	-0.098758	-0.060548
Ivd	0.867399	-0.221783	0.625761	-1.210970	-0.749338	0.712359
Iws1	0.984932	0.473937	-0.071790	0.672080	0.064510	-1.736543
Jagn1	0.984932	-1.598473	1.113210	0.314998	0.320868	-0.543321
Jak1	-2.073663	1.221580	10.167207	10.187019	-2.176296	-1.147971
Kars	-0.756727	1.979388	-0.323426	1.161974	-0.680770	-0.428320
Kat7	1.193410	1.221580	1.113210	-2.407747	1.242121	-1.147971
Kcnab2	0.984932	-1.232233	0.620786	2.289088	0.064510	-4.037789
Kcnj3	0.984932	2.629427	0.861917	0.672080	0.064510	2.252421
Kctd12	-3.728753	0.518056	-0.291297	-0.271910	3.578497	-0.732686
Khdrbs1	-0.847749	1.404163	-0.150112	-1.143110	-1.408362	-0.201595
Khsrp	-0.119914	1.604761	-0.456425	0.509973	-0.360169	-0.510084
Kiaa0020	-1.113919	1.212140	-0.893690	-3.383382	-0.119024	-1.988847
Kif11	-0.668817	0.787484	-0.129529	3.682164	0.064510	0.085479
Kif15	0.984932	3.599305	4.003569	-3.344602	-2.328293	0.251438
Kif20a	-2.683295	3.385661	1.113210	-3.301819	-0.456446	-1.147971
Kif22	0.984932	-0.577381	-1.049726	-1.231116	0.064510	-2.290298
Kif23	0.984932	1.221580	-1.957828	0.672080	-3.026619	-0.409937
Kif2a	-0.597738	1.504340	0.251148	-0.699474	2.562526	-0.618782
Kif2c	-0.502833	3.053122	0.547459	0.672080	-3.263544	-1.814716
Kif4	-3.964984	2.150226	1.205436	-1.686402	1.130890	0.057119
Kif5b	-0.304269	1.118182	-1.288649	-1.135143	-1.609206	-0.944235
Kif5c	1.085254	1.221580	1.113210	-2.488383	-1.767340	-1.147971
Kif7	0.144101	1.221580	1.113210	0.672080	0.064510	-1.147971
Klhdc4	-0.725390	1.221580	1.113210	-3.361362	-0.041948	-1.147971
Kpna1	0.228980	1.465129	1.113210	0.672080	-5.064042	-1.898183
Kpna2	-0.381670	0.886564	-0.306139	0.150477	-0.908957	-1.857331
Kpna3	-1.390595	0.810922	-2.290166	-1.964917	0.526974	-1.059583
Kpna4	-3.676610	0.246241	-1.394652	4.029948	0.064510	-3.007044
Kpnb1	-0.538218	1.389981	-0.650949	0.109141	-2.788277	-1.654713
Kras	0.984932	-0.008699	-0.367468	4.735061	0.064510	-1.189801
Kri1	0.984932	1.221580	10.589438	9.738135	-0.599061	-1.147971
Krr1	0.010015	-0.115284	0.271703	-2.510203	-3.723792	-1.316246
Krtcap2	-3.309991	3.479788	1.113210	0.672080	-3.068183	-1.147971
Kti12	1.492669	2.481607	3.968727	-2.852925	1.884927	-1.147971
Ktn1	-0.598385	3.386381	-0.756326	-5.050449	1.885565	0.304930
L7rn6	0.576261	1.221580	1.113210	0.672080	-3.183340	-1.147971
LRWD1	3.087780	0.659811	-1.455462	-1.821048	3.096657	-1.213562
Lamp1	-0.766369	1.397684	-0.648264	-1.792274	-1.399375	-2.304810
Lamp2	-0.475057	2.600212	-0.083652	6.513236	-2.664863	-1.273587
Lamtor1	0.984932	-0.331579	-0.227446	4.196905	0.064510	-0.265857
Lamtor3	0.984932	1.834591	-0.252279	2.076326	0.064510	-1.166582
Lamtor5	0.984932	4.700105	-1.273295	4.038191	0.064510	-2.101196
Lap3	-0.264275	1.122226	-0.002282	-1.970597	0.446617	-1.466977
Laptm5	0.984932	2.034991	1.113210	0.672080	-1.800753	-1.147971
Larp1	-0.709873	3.008956	-0.107427	1.529705	-0.037410	1.116404
Larp4	-0.562946	3.692126	-1.994072	0.672080	-1.000996	-1.435440
Larp4b	0.984932	-2.277628	1.492903	-3.537799	-0.890096	-1.147971
Larp7	-5.332158	2.853546	2.300750	-4.647380	-0.605867	-1.147971
Lars	0.388210	1.651229	-0.246935	1.119687	-0.509076	-1.002113
Las1l	0.218938	1.221580	1.113210	-3.778869	1.656721	-1.147971
Lbr	-0.732742	0.738160	-0.484712	-0.470927	-0.708194	-0.191050
Lcp1	-0.412967	0.930294	-0.240609	-0.063820	-0.723706	-0.953527
Ldha	-0.211878	0.990149	-0.085105	-0.138407	-1.332503	-1.389896
Lef1	-2.044626	1.575645	-0.456297	-2.680933	-2.300098	0.523641
Letm1	-1.208322	1.276905	-0.592259	2.708097	0.064510	0.058374
Lgals1	-0.232894	0.594235	0.930129	1.952190	-1.432647	-1.468713
Lgals9	-0.867531	-0.111272	-0.371704	-0.292505	-1.531090	-1.439116
Lig1	-0.656034	1.428958	-0.199149	-0.714725	-0.764557	-0.442153
Limd2	-0.712883	1.812018	-0.356121	4.683972	2.609009	1.443148
Lims1	0.299401	3.092390	1.113210	1.089624	-2.464221	-0.083585
Llph	0.984932	1.164215	-0.076688	0.672080	0.064510	-2.423442
Lman1	-0.535342	-0.270767	0.347211	-0.310870	-0.422746	-1.221602
Lman2	-0.406079	0.520139	-0.121531	-2.416428	-1.367602	-1.185216
Lmnb1	-0.196481	1.153853	-0.561568	-0.310203	0.349096	-0.139778
Lmnb2	-1.682853	1.065748	-0.123723	-2.062055	-0.982996	-0.822271
Lnp	0.168166	-3.856980	1.113210	-8.165645	1.515629	-1.147971
Lnpep	-0.637781	-0.836248	0.520813	0.058066	0.650056	-1.268246
Lonp1	-1.217831	0.574998	0.897779	4.033554	1.553072	-0.584857
Lpcat3	-1.718148	-0.043624	1.113210	-1.122040	-1.069154	-1.147971
Lrmp	-1.043939	1.471906	-1.322322	-2.942534	-1.677581	1.062294
Lrpprc	-1.209853	0.991072	-0.446799	-0.266894	-1.078263	-1.180822
Lrrc14	2.225211	-0.328880	-0.009638	0.693909	3.960120	-1.060671
Lrrc40	0.984932	1.072341	-2.334966	1.798224	0.064510	-2.141430
Lrrc47	-0.733731	0.504466	-0.613598	-0.457233	0.937539	-0.945075
Lrrc59	-0.606054	0.862188	-0.491718	-0.159769	-0.732921	-0.673585
Lrrfip1	-1.007104	1.758495	-0.855136	-3.613198	-0.001143	0.506580
Lsm12	0.694512	-1.018557	0.753312	-1.654281	-1.775025	2.919666
Lsm2	-0.231799	0.117337	-1.081516	3.249833	-1.966663	-0.795833
Lsm3	0.984932	3.328513	-1.277692	0.672080	0.064510	-1.147971
Lsm4	-1.756526	1.338261	0.268366	5.791621	0.064510	0.132912
