#Gene name	I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
ENSMUSG00000001521	-0.192914	0.173369	0.054419	0.055895	-0.189960	0.344749
ENSMUSG00000001524	0.410241	0.205225	0.205730	-0.220281	0.169581	0.100630
ENSMUSG00000001525	0.189777	0.139103	-0.036919	-0.135591	-0.069516	-0.126621
ENSMUSG00000001542	-0.008544	-0.199824	-0.186990	-0.026038	-0.127022	-0.142836
ENSMUSG00000001552	-0.291254	0.247903	0.524077	0.354258	-0.114742	-0.230641
ENSMUSG00000001555	0.124091	0.311254	-0.451735	-0.269728	-0.329509	-0.168199
ENSMUSG00000001569	-0.083958	0.054299	0.452007	0.021586	0.288864	0.068346
ENSMUSG00000001576	-0.516465	-0.641706	-0.664468	-0.779888	-0.772569	-0.640775
ENSMUSG00000001588	-0.560746	-0.377846	-0.766996	-0.481548	-0.396321	-0.572207
ENSMUSG00000001604	-0.177809	0.081367	-0.273699	-0.128889	-0.222186	-0.292911
ENSMUSG00000001627	-0.049950	-0.397393	0.096613	-0.176587	0.285955	0.419002
ENSMUSG00000001630	0.489729	0.615295	0.737620	0.788129	0.626634	0.904526
ENSMUSG00000001632	0.411504	-0.401100	0.054777	-0.493242	-0.014965	0.070360
ENSMUSG00000001642	-0.373609	-0.246540	-0.203969	-0.134814	-0.515999	-0.524941
ENSMUSG00000001661	0.866558	0.088517	0.186240	-0.148701	0.304629	0.331088
ENSMUSG00000001663	0.026697	0.418275	-0.450317	0.189417	0.016250	0.113984
ENSMUSG00000001665	0.062776	-0.106041	-0.117781	-0.194187	-0.201688	-0.141641
ENSMUSG00000001666	0.078317	-0.088807	-0.245344	-0.443135	0.016919	0.038395
ENSMUSG00000001670	-0.323106	0.117503	-0.400913	0.067374	-0.019264	-0.826334
ENSMUSG00000001672	0.409973	0.173926	0.446607	0.683149	0.750459	0.796260
ENSMUSG00000001674	0.227536	0.033360	-0.099502	-0.361416	0.182070	-0.055957
ENSMUSG00000001687	0.324401	-0.029371	0.088973	-0.510629	-0.252161	-0.084158
ENSMUSG00000001700	-0.838543	0.411105	-0.096422	-0.087906	-0.366886	-0.116488
ENSMUSG00000001707	0.443860	0.155669	0.512414	-0.320222	0.170988	0.060898
ENSMUSG00000001729	-0.162095	-0.431035	-0.395744	-0.290575	-0.383682	-0.450955
ENSMUSG00000001739	0.004487	-0.309858	-0.285100	-0.117809	-0.102646	0.063792
ENSMUSG00000001741	1.004147	1.384912	1.182011	1.085073	1.437827	1.127679
ENSMUSG00000001750	0.292315	-0.003048	0.335474	0.151709	0.104744	-0.050835
ENSMUSG00000001751	-0.163462	-0.106108	-0.202474	-0.396064	-0.161810	-0.305070
ENSMUSG00000001755	-0.001110	0.106243	0.003873	-0.218498	-0.090499	-0.289768
ENSMUSG00000001761	0.173936	-0.136255	0.035335	-0.108979	0.091133	-0.287254
ENSMUSG00000001763	0.051847	-0.044636	0.126710	-0.085854	0.058498	0.321820
ENSMUSG00000001767	-0.206014	0.097363	0.237706	-0.185561	0.314898	0.008975
ENSMUSG00000001768	-0.458506	0.444996	0.067056	0.056533	0.373205	0.515033
ENSMUSG00000001774	0.243537	-0.025744	0.201084	-0.250807	0.085343	-0.115752
ENSMUSG00000001783	-0.117426	0.220165	0.651291	0.466074	0.751609	1.077730
ENSMUSG00000001785	0.232784	0.488259	0.466676	-0.201119	0.266411	-0.127472
ENSMUSG00000001786	0.418690	0.293685	0.535278	-0.090131	-0.088021	-0.414090
ENSMUSG00000001794	0.101763	-0.314844	-0.110242	-0.359000	-0.346701	-0.576137
